Kode Provinsi,Nama Provinsi,Kode Kabupaten Kota,Nama Kabupaten Kota,Jumlah Produksi Sampah,Satuan (Ton),Tahun
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,171.21,TON PER HARI,2018
32,JAWA BARAT,3271,KOTA BOGOR,1069.41,TON PER HARI,2018
32,JAWA BARAT,3272,KOTA SUKABUMI,318.12,TON PER HARI,2018
32,JAWA BARAT,3273,KOTA BANDUNG,2441.12,TON PER HARI,2018
32,JAWA BARAT,3274,KOTA CIREBON,308.37,TON PER HARI,2018
32,JAWA BARAT,3275,KOTA BEKASI,2858.6,TON PER HARI,2018
32,JAWA BARAT,3276,KOTA DEPOK,2272.07,TON PER HARI,2018
32,JAWA BARAT,3277,KOTA CIMAHI,592.62,TON PER HARI,2018
32,JAWA BARAT,3278,KOTA TASIKMALAYA,465.23,TON PER HARI,2018
32,JAWA BARAT,3279,KOTA BANJAR,128.34,TON PER HARI,2018
32,JAWA BARAT,3201,KABUPATEN BOGOR,2914.65,TON PER HARI,2019
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1003.64,TON PER HARI,2019
32,JAWA BARAT,3203,KABUPATEN CIANJUR,1115.81,TON PER HARI,2019
32,JAWA BARAT,3204,KABUPATEN BANDUNG,1334.12,TON PER HARI,2019
32,JAWA BARAT,3205,KABUPATEN GARUT,1144.01,TON PER HARI,2019
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,753.06,TON PER HARI,2019
32,JAWA BARAT,3207,KABUPATEN CIAMIS,560.57,TON PER HARI,2019
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,537.25,TON PER HARI,2019
32,JAWA BARAT,3209,KABUPATEN CIREBON,3.15,TON PER HARI,2019
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,515.7,TON PER HARI,2019
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,436.96,TON PER HARI,2019
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1071.05,TON PER HARI,2019
32,JAWA BARAT,3213,KABUPATEN SUBANG,1012.45,TON PER HARI,2019
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,384.43,TON PER HARI,2019
32,JAWA BARAT,3215,KABUPATEN KARAWANG,934.4,TON PER HARI,2019
32,JAWA BARAT,3216,KABUPATEN BEKASI,2590.0,TON PER HARI,2019
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1124.5,TON PER HARI,2019
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,250.23,TON PER HARI,2019
32,JAWA BARAT,3271,KOTA BOGOR,620.55,TON PER HARI,2019
32,JAWA BARAT,3272,KOTA SUKABUMI,172.82,TON PER HARI,2019
32,JAWA BARAT,3273,KOTA BANDUNG,1575.73,TON PER HARI,2019
32,JAWA BARAT,3274,KOTA CIREBON,245.0,TON PER HARI,2019
32,JAWA BARAT,3275,KOTA BEKASI,2060.7,TON PER HARI,2019
32,JAWA BARAT,3276,KOTA DEPOK,1469.77,TON PER HARI,2019
32,JAWA BARAT,3277,KOTA CIMAHI,267.74,TON PER HARI,2019
32,JAWA BARAT,3278,KOTA TASIKMALAYA,291.6,TON PER HARI,2019
32,JAWA BARAT,3279,KOTA BANJAR,100.67,TON PER HARI,2019
32,JAWA BARAT,3201,KABUPATEN BOGOR,2977.0,TON PER HARI,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1006.0,TON PER HARI,2020
32,JAWA BARAT,3203,KABUPATEN CIANJUR,1117.0,TON PER HARI,2020
32,JAWA BARAT,3204,KABUPATEN BANDUNG,1355.0,TON PER HARI,2020
32,JAWA BARAT,3205,KABUPATEN GARUT,1151.0,TON PER HARI,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,754.0,TON PER HARI,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,564.0,TON PER HARI,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,540.0,TON PER HARI,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,1096.0,TON PER HARI,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,518.0,TON PER HARI,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,438.0,TON PER HARI,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1077.0,TON PER HARI,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,1023.0,TON PER HARI,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,388.0,TON PER HARI,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,942.0,TON PER HARI,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,2258.0,TON PER HARI,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1135.0,TON PER HARI,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,252.0,TON PER HARI,2020
32,JAWA BARAT,3271,KOTA BOGOR,567.0,TON PER HARI,2020
32,JAWA BARAT,3272,KOTA SUKABUMI,181.0,TON PER HARI,2020
32,JAWA BARAT,3273,KOTA BANDUNG,1630.0,TON PER HARI,2020
32,JAWA BARAT,3274,KOTA CIREBON,192.0,TON PER HARI,2020
32,JAWA BARAT,3275,KOTA BEKASI,1923.0,TON PER HARI,2020
32,JAWA BARAT,3276,KOTA DEPOK,1516.0,TON PER HARI,2020
32,JAWA BARAT,3277,KOTA CIMAHI,369.0,TON PER HARI,2020
32,JAWA BARAT,3278,KOTA TASIKMALAYA,285.0,TON PER HARI,2020
32,JAWA BARAT,3279,KOTA BANJAR,79.0,TON PER HARI,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,971.59,TON PER HARI,2021
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,356.02,TON PER HARI,2021
32,JAWA BARAT,3203,KABUPATEN CIANJUR,355.69,TON PER HARI,2021
32,JAWA BARAT,3204,KABUPATEN BANDUNG,1489.04,TON PER HARI,2021
32,JAWA BARAT,3205,KABUPATEN GARUT,321.17,TON PER HARI,2021
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,172.26,TON PER HARI,2021
32,JAWA BARAT,3207,KABUPATEN CIAMIS,159.41,TON PER HARI,2021
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,405.76,TON PER HARI,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,242.52,TON PER HARI,2021
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,546.54,TON PER HARI,2021
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,707.75,TON PER HARI,2021
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,792.48,TON PER HARI,2021
32,JAWA BARAT,3213,KABUPATEN SUBANG,739.6,TON PER HARI,2021
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,239.72,TON PER HARI,2021
32,JAWA BARAT,3215,KABUPATEN KARAWANG,614.61,TON PER HARI,2021
32,JAWA BARAT,3216,KABUPATEN BEKASI,1193.76,TON PER HARI,2021
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,201.09,TON PER HARI,2021
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,46.62,TON PER HARI,2021
32,JAWA BARAT,3271,KOTA BOGOR,719.72,TON PER HARI,2021
32,JAWA BARAT,3272,KOTA SUKABUMI,232.06,TON PER HARI,2021
32,JAWA BARAT,3273,KOTA BANDUNG,1529.04,TON PER HARI,2021
32,JAWA BARAT,3274,KOTA CIREBON,229.75,TON PER HARI,2021
32,JAWA BARAT,3275,KOTA BEKASI,1500.77,TON PER HARI,2021
32,JAWA BARAT,3276,KOTA DEPOK,1418.87,TON PER HARI,2021
32,JAWA BARAT,3277,KOTA CIMAHI,193.36,TON PER HARI,2021
32,JAWA BARAT,3278,KOTA TASIKMALAYA,295.87,TON PER HARI,2021
32,JAWA BARAT,3279,KOTA BANJAR,60.29,TON PER HARI,2021
32,JAWA BARAT,3201,KABUPATEN BOGOR,,TON PER HARI,2022
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,,TON PER HARI,2022
32,JAWA BARAT,3203,KABUPATEN CIANJUR,,TON PER HARI,2022
32,JAWA BARAT,3204,KABUPATEN BANDUNG,,TON PER HARI,2022
32,JAWA BARAT,3205,KABUPATEN GARUT,,TON PER HARI,2022
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,,TON PER HARI,2022
32,JAWA BARAT,3207,KABUPATEN CIAMIS,,TON PER HARI,2022
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,,TON PER HARI,2022
32,JAWA BARAT,3209,KABUPATEN CIREBON,,TON PER HARI,2022
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,,TON PER HARI,2022
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,,TON PER HARI,2022
